pmm,smm,vmm,exclude,deceased,firstName,nickName,lastName,organizationName,totalDonations,totalPledge,largestGift,largestGiftAppeal,firstGiftDate,lastGiftDate,lastGiftAmount,lastGiftRequest,lastGiftAppeal,addressLine1,addressLine2,city,contactPhoneType,phoneRestrictions,emailRestrictions,communicationRestrictions,subscriptionInPerson,subscriptionMagazine,communicationPreference
,,,false,false,Ailina,Ailina,Eddoes,Hickle-Rutherford,11,5,33,morbi quis tortor id nulla ultrices aliquet maecenas,,,,,,64138 Waubesa Road,Suite 44,Victoria,work,No Surveys,No Surveys,Opt-in,Opt-out,Opt-out,Holiday Card
,,,false,false,Mora,,Boxe,"Metz, Bayer and Schoen",7,15,83,,81596,,19,,,2944 Cordelia Pass,Room 1890,Saanich,home,No Phone Appeals,No Mass Emails,Opt-in,Opt-in,Opt-in,Research update
,,,true,false,Kate,,Iohananof,,5,8,87,,,,,,,53 Eggendart Drive,20th Floor,Richmond,work,Do Not Call,No Appeals,Opt-out,Opt-in,Opt-in,Event
,Liana Abrahamian,,false,false,Liana,,Abrahamian,Bosco-Vandervort,7,3,17,,,,,,,62838 School Center,,Richmond,work,No Phone Appeals,No Appeals,Opt-out,Opt-out,Opt-out,Research update
,,,false,false,Hewie,,Beat,"Leuschke, Witting and Ondricka",2,5,70,,,,,,,496 Vernon Junction,,Victoria,personal,No Phone Appeals,Do Not Email,Opt-out,Opt-out,Opt-out,Survey
Corney Connah,,,false,false,Corney,,Connah,,2,5,72,vivamus vel nulla,,,,,,34983 Dwight Terrace,Suite 59,Parksville,personal,No Mass Communications,Do Not Email,Opt-in,Opt-in,Opt-in,Survey
,,,true,false,Dacia,,Lukins,"Luettgen, Wunsch and Bogisich",12,12,90,,,,,,eu est congue,8 Northfield Avenue,,Burnaby,home,No Mass Communications,No Appeals,Opt-out,Opt-in,Opt-out,Holiday Card
,,,false,false,Ingelbert,Ingelbert,Skakunas,Auer-Simonis,14,19,100,,,,,,,91376 Duke Way,,Richmond,work,No Surveys,No Appeals,Opt-in,Opt-in,Opt-in,Event
,,,false,false,Clevie,Clevie,McGonigal,"Thompson, Murazik and Jacobs",1,3,62,morbi quis,,,,,risus semper porta volutpat quam pede lobortis,874 Chive Junction,7th Floor,Victoria,personal,Do Not Call,Do Not Email,Opt-out,Opt-out,Opt-out,Event
Cherin Gowlett,,,false,false,Cherin,,Gowlett,"Roob, Kuhic and Feest",15,2,92,,,,,,,739 Crownhardt Terrace,Suite 97,Richmond,personal,Do Not Call,No Surveys,Opt-in,Opt-in,Opt-in,Event
,,,false,false,Tisha,,Colombier,,17,5,3,,,,,,,45118 North Drive,,River,work,Do Not Call,No Mass Emails,Opt-in,Opt-in,Opt-out,Newsletter
,,,false,false,Erl,,Orrey,"Hilpert, Bechtelar and Gutkowski",7,6,13,rutrum nulla tellus in sagittis dui vel,,,20,,,4126 Fallview Lane,,Richmond,home,No Mass Communications,No Mass Emails,Opt-out,Opt-in,Opt-out,Holiday Card
,,,false,false,Case,,Gerbi,"Terry, Champlin and Luettgen",5,12,29,,,,,,,18044 Grayhawk Junction,9th Floor,Surrey,home,No Phone Appeals,No Mass Emails,Opt-in,Opt-in,Opt-out,Holiday Card
,,,false,false,Kara-lynn,Kara-lynn,Preon,"Schuster, O'Hara and Corkery",3,10,53,semper rutrum nulla nunc purus,,,,,,256 Elka Hill,Suite 58,Victoria,personal,No Phone Appeals,No Surveys,Opt-in,Opt-in,Opt-in,Holiday Card
,,Alikee Courtois,false,false,Alikee,,Courtois,Will Group,8,12,38,,,,,,,1677 Bluejay Place,Apt 1396,River,home,No Phone Appeals,No Surveys,Opt-in,Opt-out,Opt-in,Survey
Roman Reddish,,,false,false,Roman,,Reddish,,12,14,3,,,,,,,787 Straubel Junction,,Saanich,work,No Mass Communications,No Surveys,Opt-out,Opt-out,Opt-in,Holiday Card
,,Andree Ferry,false,false,Andree,,Ferry,Stoltenberg-Bergstrom,14,16,38,,,,,,,5971 Alpine Junction,Suite 72,Victoria,personal,No Surveys,No Surveys,Opt-in,Opt-out,Opt-in,Thank you
,,,true,false,Dita,Dita,Clewes,Aufderhar-Spinka,11,16,4,,,,,,,92337 Drewry Hill,,Burnaby,work,No Surveys,No Appeals,Opt-out,Opt-in,Opt-in,Event
,Lynna Jindrak,Lynna Jindrak,false,false,Lynna,Lynna,Jindrak,Thompson-Sawayn,1,9,32,enim leo rhoncus sed vestibulum sit amet,,,,,,2240 Roxbury Plaza,Suite 85,Campbell,work,No Surveys,Do Not Email,Opt-in,Opt-in,Opt-in,Event
,,,true,false,Shanon,,Clac,"Walter, Legros and Towne",11,17,26,,66632,,,,in quam fringilla rhoncus,052 Ilene Parkway,,Burnaby,work,Do Not Call,No Appeals,Opt-out,Opt-in,Opt-in,Survey
,,Mabelle MacQuist,false,false,Mabelle,,MacQuist,Senger and Sons,20,8,62,,55503,,,,,0 Dayton Plaza,14th Floor,Surrey,personal,No Mass Communications,No Surveys,Opt-out,Opt-out,Opt-out,Holiday Card
,,Sibel Frankcom,false,false,Sibel,Sibel,Frankcom,Hermiston LLC,16,14,15,,53093,,,,erat tortor sollicitudin mi sit amet,58 Golf Street,,Campbell,work,Do Not Call,Do Not Email,Opt-in,Opt-out,Opt-in,Research update
,Lindsey Cheers,Lindsey Cheers,false,false,Lindsey,,Cheers,"Nikolaus, Nienow and Kihn",13,9,19,,41904,,,,dapibus at diam nam tristique,58371 Portage Parkway,,Richmond,home,Do Not Call,No Mass Emails,Opt-out,Opt-out,Opt-in,Event
,,,false,true,Annamarie,Annamarie,Ankers,Becker-Barton,14,7,95,,,,,,,9147 Green Junction,Suite 61,Burnaby,personal,No Phone Appeals,No Mass Emails,Opt-in,Opt-in,Opt-in,Event
,,Gregg Loch,false,false,Gregg,,Loch,Walter-Lubowitz,17,20,91,,,,,,,64 Oriole Court,Room 1000,Saanich,personal,No Surveys,No Appeals,Opt-in,Opt-in,Opt-out,Survey
,Mil Whitton,,false,false,Mil,,Whitton,Mills and Sons,6,18,88,,,,,,,9 Grover Junction,,Courtenay,home,No Surveys,No Appeals,Opt-out,Opt-out,Opt-in,Thank you
,,,false,false,Janith,Janith,Coldrick,"Bergnaum, Mante and Goodwin",6,1,58,,,,,,,467 5th Pass,,Saanich,work,Do Not Call,No Appeals,Opt-out,Opt-in,Opt-out,Thank you
,,,false,false,Nicol,,Hutton,Carter-Schowalter,18,20,73,,30681,,,,,3799 Center Center,Room 256,Surrey,personal,No Surveys,No Surveys,Opt-in,Opt-in,Opt-out,Thank you
,Vanya Warn,,false,false,Vanya,,Warn,Orn-Hudson,8,17,28,posuere felis sed lacus morbi,,,,,,1 Bartelt Way,Suite 69,River,home,Do Not Call,Do Not Email,Opt-out,Opt-in,Opt-in,Holiday Card
,,Vivianna Mainwaring,false,false,Vivianna,,Mainwaring,,3,19,81,,,,,,,0 Helena Pass,1st Floor,Courtenay,home,No Mass Communications,No Mass Emails,Opt-in,Opt-out,Opt-out,Holiday Card
,,,false,false,Glyn,Glyn,Champain,Weimann-Spinka,9,18,15,morbi non quam,,,,,quam suspendisse potenti,3962 Waxwing Parkway,Apt 939,Nanaimo,home,No Surveys,Do Not Email,Opt-in,Opt-in,Opt-out,Survey
,,,false,false,Danell,,Clutram,,3,2,63,nulla sed accumsan felis ut at dolor quis odio,21047,,,,,44 Bartelt Way,Suite 42,Courtenay,work,No Phone Appeals,Do Not Email,Opt-out,Opt-out,Opt-in,Survey
,,,false,true,Roseline,,Gaughan,"Ortiz, Pfannerstill and Nicolas",16,10,41,,,,,,interdum venenatis turpis enim blandit mi in porttitor pede justo,3036 Kinsman Drive,Suite 41,Richmond,work,No Phone Appeals,No Surveys,Opt-out,Opt-in,Opt-out,Thank you
,,,false,false,Scotty,Scotty,Trimnell,Stoltenberg Inc,10,12,49,,,,,,curae mauris viverra diam vitae quam suspendisse,351 Northview Point,Room 208,Parksville,work,Do Not Call,No Appeals,Opt-out,Opt-out,Opt-in,Thank you
,,,false,false,Kathye,,Sindall,,5,18,83,,,,,,,91149 Independence Crossing,Apt 168,River,work,Do Not Call,No Appeals,Opt-in,Opt-in,Opt-out,Newsletter
,,Noell Cotgrove,false,false,Noell,Noell,Cotgrove,Schneider-Collins,16,14,8,,,,,,,6182 Arrowood Point,Room 1109,Richmond,work,No Mass Communications,No Appeals,Opt-out,Opt-in,Opt-in,Survey
,,,false,false,Kermit,Kermit,Gladwin,"Brekke, Volkman and Hammes",10,3,89,,,,,,,5176 American Ash Lane,12th Floor,Richmond,work,No Phone Appeals,No Surveys,Opt-out,Opt-in,Opt-out,Newsletter
,Flossy Mathivet,,false,false,Flossy,,Mathivet,Spinka Group,14,8,87,aliquam quis turpis eget elit sodales scelerisque mauris sit amet,,,,,ut massa quis augue luctus tincidunt nulla mollis molestie lorem,5761 Shopko Trail,,Nanaimo,work,No Phone Appeals,No Appeals,Opt-out,Opt-in,Opt-in,Survey
,,,false,false,Sibyl,,Simison,"Schultz, Runolfsdottir and Von",16,5,46,,,,46,,,0683 Fordem Trail,Room 1660,Saanich,work,No Surveys,No Mass Emails,Opt-in,Opt-in,Opt-out,Event
,,,false,false,Carree,,Murfin,"Runolfsson, Renner and Volkman",17,3,13,,,,,,ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet,74 Golf View Terrace,Room 1828,Courtenay,work,No Phone Appeals,Do Not Email,Opt-in,Opt-in,Opt-out,Survey
,,,false,false,Abbot,,Bevan,Kutch-Bergnaum,3,8,96,purus eu magna vulputate luctus cum sociis natoque penatibus et,98463,,,,id ligula suspendisse ornare consequat,21 Twin Pines Hill,Room 269,Nanaimo,home,No Mass Communications,Do Not Email,Opt-out,Opt-in,Opt-in,Thank you
,,,false,false,Amabelle,,Terbruggen,Fritsch-Gleichner,15,11,74,,,,,,,4019 Clemons Terrace,,Victoria,work,No Mass Communications,No Appeals,Opt-in,Opt-in,Opt-out,Survey
,,,false,false,Romeo,,Cocher,"Lesch, Brakus and Hartmann",19,2,28,,,,,,,27 Ridge Oak Road,9th Floor,River,home,No Surveys,No Surveys,Opt-out,Opt-out,Opt-out,Thank you
,,Jeth Creane,false,false,Jeth,Jeth,Creane,Herman-Schowalter,15,9,17,,,,,,,488 Westerfield Drive,16th Floor,Campbell,work,Do Not Call,No Appeals,Opt-in,Opt-in,Opt-in,Research update
,,,false,false,Davey,Davey,Pergens,Batz-Olson,5,6,8,convallis tortor risus dapibus,,,,,,27 Jackson Street,,Surrey,home,Do Not Call,No Surveys,Opt-in,Opt-in,Opt-out,Event
,,,false,false,Bev,Bev,McMinn,Ondricka and Sons,15,12,51,,,,,,posuere cubilia curae donec pharetra,3 Algoma Terrace,Apt 705,Vancouver,work,No Phone Appeals,Do Not Email,Opt-out,Opt-out,Opt-out,Holiday Card
,,,false,false,Miran,,Maymond,"Bergnaum, Yost and Herzog",4,12,16,in blandit ultrices,,,,,ac tellus semper interdum mauris ullamcorper purus,8563 Basil Street,Apt 1913,Courtenay,home,No Surveys,Do Not Email,Opt-in,Opt-in,Opt-in,Holiday Card
,,Nilson Border,false,false,Nilson,,Border,Senger-Miller,1,16,65,,,,,,,17 Forest Trail,,River,home,No Phone Appeals,No Appeals,Opt-out,Opt-in,Opt-in,Thank you
,,,false,false,Federica,Federica,Alloway,Kirlin LLC,10,3,7,,,,40,204,aenean lectus pellentesque eget nunc donec quis orci eget orci,743 Hermina Road,Suite 50,Parksville,home,No Phone Appeals,No Mass Emails,Opt-in,Opt-out,Opt-out,Event
,Baird Brunet,,false,false,Baird,,Brunet,Osinski and Sons,0,13,35,,7588,,,,,75133 Bartillon Way,Apt 1396,Victoria,home,No Phone Appeals,No Mass Emails,Opt-in,Opt-out,Opt-out,Event
,,Ardra Pilmoor,false,false,Ardra,Ardra,Pilmoor,Hoeger and Sons,19,6,77,,,,,,,06086 Claremont Plaza,,Nanaimo,home,No Surveys,No Mass Emails,Opt-in,Opt-in,Opt-out,Event
,,Olly Atherley,false,false,Olly,Olly,Atherley,Kuvalis-Parker,16,14,28,,66438,,,,,6511 Bunting Center,PO Box 73403,Burnaby,personal,Do Not Call,No Mass Emails,Opt-in,Opt-in,Opt-out,Research update
,,,false,false,Hillyer,,Crilley,Jacobi-Toy,1,12,40,lectus pellentesque eget nunc donec quis orci,,,,,,3526 Shopko Avenue,,Vancouver,work,No Mass Communications,No Appeals,Opt-out,Opt-out,Opt-in,Holiday Card
,Rasla Lukes,,false,false,Rasla,,Lukes,Hermiston Inc,7,7,47,,,,,,proin risus praesent lectus vestibulum,89 High Crossing Junction,PO Box 44656,Victoria,personal,No Phone Appeals,Do Not Email,Opt-in,Opt-in,Opt-out,Survey
,,,false,false,Alta,Alta,MacRorie,,2,17,18,,,,,,id ornare imperdiet sapien,603 Cardinal Court,,Saanich,work,No Phone Appeals,No Appeals,Opt-out,Opt-out,Opt-out,Newsletter
Filip Killoran,,,false,false,Filip,,Killoran,Watsica and Sons,3,4,6,,,,,,,1 Ruskin Point,,Surrey,work,No Surveys,No Mass Emails,Opt-in,Opt-out,Opt-out,Research update
,,,false,true,Danyelle,,Packer,Kunze Group,14,1,67,,,,,,,7 Heffernan Place,Apt 545,River,work,No Surveys,No Appeals,Opt-in,Opt-in,Opt-out,Newsletter
,,,false,false,Brannon,,Wood,,2,9,55,,,,,9552,,35141 Quincy Parkway,,Courtenay,home,No Surveys,No Appeals,Opt-in,Opt-in,Opt-out,Survey
,,,false,false,Aila,,Francie,"Stracke, Rogahn and Howe",0,2,78,,,,54,,,29 Spenser Drive,Room 1605,River,personal,No Mass Communications,Do Not Email,Opt-out,Opt-out,Opt-in,Research update
,,Willamina Crusham,false,false,Willamina,Willamina,Crusham,Hansen-Schmeler,18,15,83,,,,,,vel ipsum praesent blandit lacinia erat vestibulum sed,29802 Maywood Drive,Room 730,Surrey,home,No Surveys,Do Not Email,Opt-out,Opt-in,Opt-out,Event
,Ilse Aers,Ilse Aers,false,false,Ilse,,Aers,"Collier, Keebler and Wunsch",3,18,24,luctus cum sociis natoque penatibus et,,,,,,298 Quincy Center,,Vancouver,work,No Surveys,No Mass Emails,Opt-in,Opt-out,Opt-out,Research update
Lock Steels,Lock Steels,,false,false,Lock,,Steels,"Nicolas, MacGyver and Little",17,7,88,,,,,,,354 Glendale Center,Suite 92,Nanaimo,home,No Phone Appeals,No Surveys,Opt-in,Opt-out,Opt-out,Newsletter
,,,false,false,Kirsteni,,Peers,Kshlerin-Wiza,12,1,94,,,,,,,00431 Hanson Lane,Apt 265,Nanaimo,home,No Phone Appeals,Do Not Email,Opt-out,Opt-in,Opt-out,Survey
,Jonathan Dyson,,false,false,Jonathan,,Dyson,Ankunding-Halvorson,10,19,58,,,,,,,3 Acker Crossing,Apt 664,Burnaby,home,Do Not Call,No Surveys,Opt-in,Opt-in,Opt-out,Research update
,Ansell Boland,,false,false,Ansell,,Boland,Cassin-Fay,7,6,81,velit donec,,,,,vestibulum quam sapien varius ut blandit non interdum,5809 Di Loreto Park,Suite 49,Parksville,home,No Surveys,Do Not Email,Opt-in,Opt-in,Opt-in,Event
,,Toby Brandolini,false,false,Toby,,Brandolini,Cartwright Group,14,11,51,,,,,,,65267 Heath Court,Room 101,Nanaimo,home,No Mass Communications,No Mass Emails,Opt-out,Opt-in,Opt-out,Survey
,,,false,false,Marven,,Deport,Flatley and Sons,5,17,47,pharetra magna ac consequat metus,,,,,,2 Cambridge Alley,20th Floor,Vancouver,work,No Mass Communications,No Appeals,Opt-out,Opt-out,Opt-out,Thank you
,,Nissy Lowrey,false,false,Nissy,,Lowrey,"Bashirian, Zboncak and Volkman",12,14,33,,,,,,volutpat quam pede lobortis ligula sit amet eleifend pede,058 Maywood Junction,Suite 52,Parksville,home,No Mass Communications,No Mass Emails,Opt-in,Opt-in,Opt-out,Survey
Amery Lardge,,Amery Lardge,false,false,Amery,,Lardge,O'Reilly and Sons,12,17,93,,,,,,praesent blandit nam nulla integer pede,687 Judy Place,,River,home,No Mass Communications,No Mass Emails,Opt-out,Opt-out,Opt-in,Event
Carolus Sprowles,,,false,false,Carolus,,Sprowles,Lubowitz Inc,3,10,79,ante vivamus,,,,,,3 Anthes Lane,PO Box 39259,Richmond,work,Do Not Call,Do Not Email,Opt-in,Opt-in,Opt-in,Event
Malchy Hame,Malchy Hame,,false,false,Malchy,,Hame,Feil LLC,19,4,62,ipsum aliquam,,,,,donec semper sapien a libero nam dui proin leo,37 Fieldstone Point,10th Floor,River,personal,No Surveys,No Appeals,Opt-out,Opt-in,Opt-out,Research update
Brett Will,,,false,false,Brett,,Will,Sauer Group,5,1,27,amet sapien dignissim vestibulum vestibulum ante,,,,,nulla tempus vivamus in felis,2709 Jackson Place,,Saanich,personal,No Phone Appeals,No Appeals,Opt-out,Opt-out,Opt-in,Thank you
Theresita Saunder,,Theresita Saunder,false,false,Theresita,,Saunder,Wintheiser Group,9,5,89,,,,,,libero ut massa volutpat convallis morbi odio odio,256 Glacier Hill Point,,Victoria,work,No Mass Communications,No Mass Emails,Opt-in,Opt-out,Opt-in,Survey
,,,false,false,Margit,Margit,Bertome,Prosacco-Heathcote,15,15,58,,,,,,,51 Riverside Park,Suite 75,Courtenay,personal,No Mass Communications,No Mass Emails,Opt-in,Opt-out,Opt-out,Holiday Card
,,,false,false,Tobye,,Vail,Smith Inc,6,9,42,,,,,,ut mauris eget massa tempor convallis nulla,31993 Hanover Plaza,,Saanich,personal,Do Not Call,No Mass Emails,Opt-in,Opt-in,Opt-out,Research update
,,,false,true,Maye,Maye,De Minico,"Daniel, Cronin and Bruen",6,17,69,a ipsum integer a nibh in,4454,,,,ut erat curabitur gravida nisi,97 Rutledge Center,2nd Floor,Saanich,home,No Mass Communications,No Mass Emails,Opt-in,Opt-out,Opt-in,Newsletter
,,,false,false,Babette,,Libbey,"D'Amore, Bosco and Wilderman",19,5,29,,,,,,,9357 Amoth Road,3rd Floor,Campbell,work,No Surveys,Do Not Email,Opt-out,Opt-out,Opt-in,Survey
,,,true,false,Piper,,Millican,Nicolas-Kemmer,17,10,83,,,,,,dui vel nisl duis ac nibh fusce lacus purus aliquet,929 Bayside Terrace,Suite 99,Vancouver,work,No Mass Communications,No Surveys,Opt-out,Opt-in,Opt-in,Survey
,,Henka Goundrill,false,false,Henka,Henka,Goundrill,Emard-Schultz,0,20,16,,19224,,,,consequat nulla nisl nunc,8534 Delaware Road,Room 347,Saanich,work,No Mass Communications,No Mass Emails,Opt-in,Opt-out,Opt-out,Holiday Card
,,,false,false,Constantine,,Melior,Heller-Emmerich,6,2,85,,,,,,,80 Shoshone Avenue,Room 251,Richmond,work,No Surveys,No Appeals,Opt-out,Opt-in,Opt-in,Thank you
,,Pen Harriskine,false,false,Pen,Pen,Harriskine,"McClure, Veum and Bins",2,5,97,duis aliquam convallis nunc proin at turpis a pede,,,,,justo etiam pretium iaculis,213 Burning Wood Terrace,PO Box 75328,Nanaimo,personal,No Surveys,No Mass Emails,Opt-out,Opt-out,Opt-in,Research update
,Elly Rooper,,false,false,Elly,,Rooper,Bogisich Inc,0,20,84,eu mi nulla ac enim in tempor,32935,,,,,49 Kipling Center,Room 1625,Campbell,work,No Mass Communications,Do Not Email,Opt-in,Opt-in,Opt-in,Research update
,,,false,false,Bronnie,,Baroc,,0,17,34,,,,,,,4595 Talmadge Terrace,PO Box 29253,Vancouver,home,No Phone Appeals,No Mass Emails,Opt-in,Opt-in,Opt-out,Newsletter
,,,false,false,Dotty,,Cathesyed,"Jacobs, Jones and Langworth",1,5,48,,,,,,,64 Kim Street,Room 1721,Vancouver,work,Do Not Call,No Surveys,Opt-out,Opt-in,Opt-out,Research update
,Merv Grinstead,,false,true,Merv,Merv,Grinstead,Davis-VonRueden,5,19,82,,,,,,,428 Jenifer Park,Apt 1453,Surrey,work,No Phone Appeals,No Mass Emails,Opt-in,Opt-in,Opt-in,Holiday Card
,,Si Soares,false,false,Si,,Soares,,7,2,74,,,,,,,7957 Crownhardt Terrace,PO Box 70828,Parksville,home,No Mass Communications,No Surveys,Opt-in,Opt-in,Opt-in,Holiday Card
,,,false,true,Malissia,,Delea,"Stamm, Kessler and McCullough",10,9,7,,13618,,,,,8816 Ryan Hill,10th Floor,Surrey,home,No Phone Appeals,No Surveys,Opt-in,Opt-out,Opt-out,Thank you
Clint Landsman,,Clint Landsman,false,false,Clint,,Landsman,Lang-Welch,9,5,61,,,,,,,1543 Elmside Circle,3rd Floor,Victoria,personal,No Mass Communications,Do Not Email,Opt-in,Opt-out,Opt-in,Thank you
,,Arvie Benedicte,false,false,Arvie,,Benedicte,Bins LLC,14,15,49,,,,,,,8666 Moulton Drive,,Courtenay,home,No Surveys,No Surveys,Opt-out,Opt-in,Opt-out,Survey
Hastie Meredith,Hastie Meredith,,false,false,Hastie,Hastie,Meredith,Volkman Group,10,8,7,,82321,,,,,63 Park Meadow Circle,Suite 25,Burnaby,work,No Mass Communications,No Appeals,Opt-in,Opt-in,Opt-out,Event
,,Sarah Royl,false,false,Sarah,,Royl,Schulist LLC,0,14,50,orci luctus et ultrices posuere cubilia curae donec,,,,,,5 Springs Plaza,1st Floor,Campbell,work,Do Not Call,No Appeals,Opt-in,Opt-out,Opt-in,Thank you
,Antonio Drennan,,false,false,Antonio,,Drennan,Hermiston and Sons,13,19,14,,,,,,sociis natoque penatibus et magnis,4 Morning Street,,Burnaby,home,No Mass Communications,No Appeals,Opt-in,Opt-in,Opt-out,Research update
,,Edward Meneghelli,false,false,Edward,,Meneghelli,Rippin Inc,4,8,31,,,,,,sapien sapien non mi integer ac neque duis,4 Buell Park,,Burnaby,work,No Surveys,No Appeals,Opt-in,Opt-out,Opt-in,Event
,Mandie Dufall,,false,false,Mandie,,Dufall,Kassulke and Sons,2,13,85,,37254,,,,arcu libero rutrum,3 Mockingbird Plaza,,Vancouver,home,No Phone Appeals,No Appeals,Opt-out,Opt-out,Opt-in,Research update
,Erhard Shand,,false,false,Erhard,,Shand,"Muller, Kautzer and Boyle",19,16,45,vel nulla eget eros,,,,,,7930 Sage Trail,PO Box 96533,Nanaimo,work,No Surveys,No Surveys,Opt-in,Opt-out,Opt-out,Newsletter
,,Giff Kohring,false,false,Giff,,Kohring,"Adams, Frami and Schneider",19,10,37,quam pede,,,,,a libero nam dui proin leo odio porttitor id,55 Straubel Center,,Parksville,home,No Surveys,Do Not Email,Opt-in,Opt-in,Opt-in,Newsletter
,Allard Reidie,Allard Reidie,false,false,Allard,,Reidie,Veum and Sons,9,20,76,,,,,,nisi nam ultrices libero non,04 3rd Point,Room 202,Campbell,personal,No Surveys,No Surveys,Opt-out,Opt-out,Opt-in,Survey
,,Mina Castanares,false,false,Mina,,Castanares,Bayer LLC,7,2,35,nulla justo aliquam quis turpis eget,,,,,duis at velit,13556 Mandrake Parkway,Apt 978,Nanaimo,home,No Surveys,No Mass Emails,Opt-in,Opt-out,Opt-in,Thank you
,,,true,false,Kriste,,Levane,,19,8,14,viverra pede ac diam cras pellentesque volutpat,,,88,,,00771 Farmco Circle,,Saanich,work,No Surveys,No Mass Emails,Opt-in,Opt-in,Opt-out,Newsletter
Kip McPeake,,,false,true,Kip,Kip,McPeake,Bayer-D'Amore,9,11,9,,,,30,,,85958 Eliot Trail,PO Box 67506,River,home,Do Not Call,No Mass Emails,Opt-out,Opt-in,Opt-out,Survey
,,Clemmy Skates,false,false,Clemmy,,Skates,,8,7,18,,9764,,,,pellentesque volutpat dui maecenas,789 Washington Place,18th Floor,Burnaby,personal,No Phone Appeals,No Appeals,Opt-in,Opt-out,Opt-out,Research update
,,Saloma Itzkin,false,false,Saloma,,Itzkin,Abernathy LLC,13,5,11,,,,,,,113 West Drive,Apt 521,Richmond,work,No Surveys,Do Not Email,Opt-out,Opt-in,Opt-in,Thank you
,,,false,true,Colette,,Lezemore,"Romaguera, Douglas and Leffler",19,15,29,,,,,,,0 Norway Maple Parkway,,Nanaimo,home,Do Not Call,No Appeals,Opt-out,Opt-out,Opt-out,Research update
Debbi Thow,,,false,false,Debbi,Debbi,Thow,"Wiegand, Schuster and Gutkowski",20,11,2,,,,,,mi in porttitor pede justo eu massa donec,6246 Pine View Terrace,,Campbell,home,Do Not Call,No Appeals,Opt-out,Opt-out,Opt-in,Research update
Coralyn Zuann,,,false,false,Coralyn,,Zuann,Feest Group,13,12,7,,,,,,,6 Toban Junction,,Nanaimo,work,Do Not Call,No Appeals,Opt-in,Opt-in,Opt-out,Research update
,,Jo-anne Courteney,false,false,Jo-anne,Jo-anne,Courteney,Kerluke-Schulist,3,15,14,justo pellentesque viverra pede ac diam cras,,,,,non mi integer ac neque,281 Bartelt Road,Suite 98,Parksville,work,No Mass Communications,No Appeals,Opt-in,Opt-out,Opt-out,Newsletter
Kirby Morphet,,,false,false,Kirby,,Morphet,"Cartwright, McKenzie and Herman",17,5,72,,28113,,,,vel enim sit amet nunc viverra dapibus nulla,7 Washington Drive,Apt 1740,Nanaimo,home,Do Not Call,No Appeals,Opt-out,Opt-out,Opt-in,Survey
,,,false,false,Wenonah,,McGerraghty,"Herzog, Pagac and Erdman",16,10,12,,,,,,,35 Commercial Parkway,Apt 509,Surrey,work,Do Not Call,No Mass Emails,Opt-in,Opt-in,Opt-out,Event
,,,false,false,Muffin,,Elham,Douglas-Fisher,17,7,95,,,,,,consectetuer adipiscing elit proin risus praesent,4151 Gina Terrace,Suite 66,Campbell,work,No Mass Communications,Do Not Email,Opt-in,Opt-in,Opt-out,Newsletter
,Adi Shitliff,,false,false,Adi,,Shitliff,,7,20,10,,,,80,,fusce lacus purus aliquet at feugiat non pretium quis,22 Manley Point,Apt 459,Nanaimo,personal,No Mass Communications,Do Not Email,Opt-in,Opt-out,Opt-in,Research update
,,Freddy Pittam,false,false,Freddy,Freddy,Pittam,Rodriguez Inc,20,17,55,,,,,,ac nibh fusce lacus purus,1212 Farmco Park,,Nanaimo,work,Do Not Call,No Surveys,Opt-out,Opt-in,Opt-in,Survey
,,,false,false,Arty,,Trenfield,Rutherford-Nicolas,15,5,56,interdum venenatis turpis enim blandit mi in,4543,,,,turpis a pede posuere nonummy integer,1357 Arrowood Circle,PO Box 56693,Saanich,personal,No Surveys,No Surveys,Opt-in,Opt-in,Opt-out,Thank you
,Wolfie Stirley,,false,true,Wolfie,,Stirley,Hoeger-Volkman,8,7,39,,,,,,consectetuer adipiscing elit,07240 Evergreen Trail,Room 1714,Vancouver,personal,Do Not Call,No Appeals,Opt-in,Opt-out,Opt-in,Holiday Card
,Bayard McEvoy,,false,false,Bayard,Bayard,McEvoy,"Kreiger, Rodriguez and Stanton",6,8,85,,,,,,dui nec nisi volutpat,1 Anthes Parkway,PO Box 38859,River,personal,Do Not Call,No Surveys,Opt-in,Opt-out,Opt-in,Holiday Card
,,,false,false,Blanch,,Towriss,,8,15,8,,,,,,,93448 Lakewood Gardens Trail,,Burnaby,personal,No Phone Appeals,No Mass Emails,Opt-in,Opt-in,Opt-out,Research update
,,Norbie Jansema,false,false,Norbie,Norbie,Jansema,"Kling, Lind and Cremin",15,4,58,lacinia erat vestibulum sed magna at,,,,,ultrices libero non mattis pulvinar nulla pede ullamcorper,531 Dunning Center,7th Floor,Campbell,home,No Phone Appeals,Do Not Email,Opt-in,Opt-out,Opt-in,Holiday Card
Goldina Henri,,,false,true,Goldina,,Henri,"Lebsack, Hoppe and Kulas",15,11,40,,57889,,,,accumsan odio curabitur convallis duis consequat dui,7197 Rieder Place,Room 649,Victoria,personal,No Mass Communications,Do Not Email,Opt-in,Opt-in,Opt-out,Holiday Card
,,,false,false,Irene,,Cotgrove,,10,2,18,luctus et ultrices posuere,,,82,,habitasse platea dictumst,05 Tomscot Center,Room 1569,Campbell,work,No Phone Appeals,Do Not Email,Opt-in,Opt-in,Opt-out,Newsletter
